Player_ID,Team_ID,Player,First Name,Last Name,PPG,APG,RPG,SPG,3P%
655,26,Marquise Kennedy,Marquise,Kennedy,4,3,5,1,0
161,11,Mark Williams,Mark,Williams,15,2.5,7.5,1.5,0
675,19,"Marcus Shaver, Jr.",Marcus,"Shaver,",4,1,2,1,0
325,27,"Marcus Bingham, Jr.",Marcus,"Bingham,",11,0,9,2,0.5
61,21,Marcus Carr,Marcus,Carr,19,8,0.5,1,0.538
528,63,Manny Littles,Manny,Littles,7,1,10,0,0
791,27,Malik Hall,Malik,Hall,1,1,4,0,0
73,38,Malaki Branham,Malaki,Branham,18.5,3,3.5,2,0.333
313,53,Malachi Smith,Malachi,Smith,12,1,8,3,0
88,42,Luka Brajkovic,Luka,Brajkovic,18,2,4,0,0.5
246,66,"Luis Hurtado, Jr.",Luis,"Hurtado,",13,3,6,3,0
658,26,Lucas Williamson,Lucas,Williamson,4,6,5,3,0.2
62,14,Logan Johnson,Logan,Johnson,19,2,5.5,1.5,0.667
422,20,Lester Quinones,Lester,Quinones,9,0.5,3.5,0,0.5
663,58,Leslie Nkereuwem,Leslie,Nkereuwem,4,1,1,1,0
109,64,Leo Colimerio,Leo,Colimerio,17,1,9,3,0
638,28,Leaky Black,Leaky,Black,4,7,6,1.5,0
87,63,Latrell Jones,Latrell,Jones,18,3,4,4,0.375
580,64,"Latrell Wrightsell, Jr.",Latrell,"Wrightsell,",6,2,2,1,0
411,20,Landers Nolley II,Landers,Nolley,9.5,1,4.5,1.5,0.333
704,25,LaMont Butler,LaMont,Butler,3,2,6,0,0.5
44,15,Kyler Edwards,Kyler,Edwards,20,3.5,6.5,1.5,0.5
784,14,Kyle Bowen,Kyle,Bowen,1,0,1,0.5,0
510,38,Kyle Young,Kyle,Young,7.5,0.5,6.5,0.5,0
555,50,Kur Kuath,Kur,Kuath,6,0,5,0,0
701,13,Kris Murray,Kris,Murray,3,2,5,2,0
700,63,Kris Bankston,Kris,Bankston,3,3,3,0,0
78,16,Kofi Cockburn,Kofi,Cockburn,18,0.5,10.5,1.5,0
723,30,Khalil Shabazz,Khalil,Shabazz,3,1,4,1,0.167
278,8,Kevin Obanor,Kevin,Obanor,12.5,1,13,0,0.167
294,8,Kevin McCullar,Kevin,McCullar,12,2.5,1.5,2,0.333
426,61,Kevin Anderson,Kevin,Anderson,9,2,3,1,0.2
184,29,Keve Aluma,Keve,Aluma,15,1,6,1,0
560,25,Keshad Johnson,Keshad,Johnson,6,2,2,1,0
143,37,Keon Ellis,Keon,Ellis,16,0,9,2,0.667
134,6,Kennedy Chandler,Kennedy,Chandler,16,7,4.5,3,0.571
390,32,Kendle Moore,Kendle,Moore,10,3,2,3,0.4
600,9,Kendall Brown,Kendall,Brown,5,1,4,1.5,0
466,7,Kellan Grady,Kellan,Grady,8,4,5,1,0.143
463,7,"Keion Brooks, Jr.",Keion,"Brooks,",8,2,3,2,0
529,49,Keegan Records,Keegan,Records,7,0,7,0,0
39,13,Keegan Murray,Keegan,Murray,21,2,9,1,0
689,62,Keaton Norris,Keaton,Norris,3,2.5,4,1,0.5
307,65,Kane Williams,Kane,Williams,12,3,3,2,0
135,20,Kameron McGusty,Kameron,McGusty,16,3,6,2.5,0
724,50,Kam Jones,Kam,Jones,3,0,0,0,0.25
667,34,Kadary Richmond,Kadary,Richmond,4,4,2,3,0
174,24,K.J. Williams,K.J.,Williams,15,1,5,0,0.222
377,45,K.J. Buffen,K.J.,Buffen,10,1,11,3,0
332,17,K.D. Johnson,K.D.,Johnson,11,4,4,0.5,0.25
584,53,K.C. Hankton,K.C.,Hankton,6,0,2,0,0.5
287,57,K.C. Ndefo,K.C.,Ndefo,12,2.5,6.5,0.5,0
688,15,J'wan Roberts,J'wan,Roberts,3,0,3.5,0.5,0
387,37,Juwan Gary,Juwan,Gary,10,1,4,2,0.5
423,29,Justyn Mutts,Justyn,Mutts,9,5,5,1,0
197,10,Justin Moore,Justin,Moore,14.5,4,2,0.5,0.455
